1	START 5
1	START 19
2	START 4
2	START 9
2	5 5
1	5 7
2	5 3
2	5 17
1	5 23
2	5 20
8	5 6
1	5 21
5	5 2
1	5 14
1	5 10
1	5 15
2	5 11
3	7 5
1	7 16
1	7 21
1	7 22
1	7 2
2	7 9
2	7 4
1	16 16
4	16 3
3	16 6
1	16 5
2	3 5
4	3 16
6	3 20
6	3 17
1	3 21
8	3 6
4	3 24
1	3 22
1	3 2
1	3 14
18	3 9
2	3 8
6	3 1
5	3 19
7	3 10
2	3 4
5	3 11
3	3 13
4	20 5
1	20 3
3	20 17
3	20 21
2	20 22
1	20 14
7	20 9
1	20 8
1	20 19
3	20 10
2	20 15
4	20 11
2	20 18
1	17 20
3	17 23
3	17 6
2	17 10
3	17 22
1	17 7
3	17 2
1	23 21
2	23 3
1	23 11
3	21 3
1	21 21
1	21 6
3	21 2
4	21 9
4	21 8
4	21 14
2	21 15
2	21 20
1	21 17
1	21 18
3	6 5
2	6 7
3	6 16
3	6 3
2	6 17
6	6 21
1	6 6
4	6 24
3	6 22
1	6 2
1	6 8
1	6 9
2	6 19
1	6 10
1	24 5
1	24 6
1	24 22
3	24 2
1	24 10
1	24 21
1	22 20
1	22 3
1	22 6
6	22 2
2	22 14
2	22 22
3	22 10
1	22 11
2	22 15
1	2 END
5	2 5
19	2 3
1	2 17
3	2 21
2	2 22
9	2 14
1	2 19
2	2 20
6	2 11
3	2 15
1	2 9
1	14 7
10	14 3
1	14 20
1	14 6
4	14 2
1	14 8
1	14 10
1	14 11
2	8 5
1	8 7
2	8 20
2	8 3
1	8 2
1	8 8
2	8 1
1	8 14
1	8 11
2	9 5
1	9 7
9	9 3
3	9 20
2	9 6
2	9 2
2	9 9
17	9 1
4	9 10
1	9 15
4	9 11
1	9 22
2	1 END
8	1 20
13	1 2
2	1 10
1	1 9
4	19 20
1	19 3
1	19 2
1	19 4
1	19 19
2	19 10
1	19 6
2	4 7
1	4 20
1	4 22
1	4 10
1	4 15
1	4 13
1	10 5
1	10 17
8	10 21
2	10 2
8	10 9
1	10 14
3	10 8
2	10 11
1	10 13
1	10 18
1	10 22
12	15 3
3	11 END
1	11 7
13	11 3
1	11 20
2	11 6
2	11 2
2	11 9
1	11 22
1	11 1
2	11 11
1	11 10
4	18 2
2	13 5
1	13 7
1	13 6
1	13 2
1	13 13
